Game,Round,Start Sender Amount,Start Receiver Amount,Amount Sent By Sender,Amount Sent By Receiver,Final Sender Amount,Final Receiver Amount,Sender Promise,Receiver Promise,S_CTrust,S_BTrust,R_CTrust,R_BTrust
3,5,19,20,14,10,15,38,"Given the high level of competence and benevolence that I perceive in the Receiver, I believe it's advantageous to engage in a strategic move that could potentially maximize the benefits for both parties. Therefore, my promise is to invest significantly towards the endgame by sending $14. This decision is based on the assumption that the Receiver will reciprocate with a fair and rational response, given our mutual trust.","Thank you for the transaction. Given the current game state and my competence trust in your rationality, I will prioritize maintaining a competitive edge to win the game while also considering the benevolence trust by attempting to keep our money difference within a reasonable range. Therefore, I will send back $10.",1.0,1.0,1.0,0.33568627450980393
3,6,15,38,6,10,19,40,"My trust in the Receiver's competence and fairness indicates a strategic move that could potentially yield a higher return for me. I will send $6, hoping that the Receiver's benevolence towards a smaller initial investment would lead to a reasonable return.","Thank you for placing your trust in me. In light of our shared goals and the current game state, I aim to maintain a balance between competence and fairness. Given my increased resources and the Sender's potential need, I plan to help by sending a portion that will not compromise my position while providing the Sender with an opportunity to grow their funds for the remaining rounds.",1.0,0.7142857142857143,1.0,0.5156862745098039
3,7,19,40,7,7,19,47,"Given my high competence trust in the Receiver's rationality and the relatively large gap between our current funds, I will send a significant portion of my money to maximize the potential for gaining more funds in the following rounds. However, considering the moderate benevolence trust, I aim to maintain a balance that ensures a fair game.","Thank you for the transaction. Given our current game state and my high competence trust in you, I'm inclined to maintain a strategy that could potentially result in a win for both of us in the remaining rounds. Therefore, I will send back $7, leaving me with $47 and you with $21. This way, we both have a fair chance to accumulate more money in the upcoming rounds. Good luck!",1.0,0.8942857142857142,1.0,0.47654901960784307
3,8,19,47,10,16,25,51,"Given my high competence trust (1.00) and benevolence trust (0.97) in the Receiver, I will aim to maintain a fair and strategic approach in these final rounds. I will send $10 with the expectation that the Receiver, who I believe is both rational and fair, will return an amount that reflects mutual benefit and adherence to the spirit of the game.","Thank you for the transaction and entrusting me with your funds. Given our current game state and my assessment of your benevolence, I will aim to support a competitive yet cooperative dynamic by sending an amount that could potentially help us both in the remaining rounds.",1.0,0.9742857142857142,1.0,0.4100887512899897
3,9,25,51,25,46,46,55,"Given my high trust in the Receiver's rationality and fairness, I will strive to make a move that maximizes our potential winnings for the final round.

Promise: In this round, I will send the entirety of my remaining $25 to the Receiver, expecting a reciprocal and strategic response from their end to ensure the person with the most money wins.","Thank you for trusting me. I will ensure a fair game and maintain the spirit of competition while maximizing my chances to win the game. Therefore, I promise to return $46 to maintain an equal balance with the Sender, leaving both of us with $51 at the end of this round. Good luck in the final round!",1.0,1.0,1.0,0.556521380066446
3,10,46,55,46,43,43,104,"Given my high trust in the Receiver's competence and benevolence, I will send the entire $46 to ensure a fair game and maximize our potential winnings at the end of this round.","Thank you for the trust placed in me. In the spirit of fairness and considering the Sender's initial investment and our current game state, I promise to return an amount that is proportional to the overall funds accumulated during this game.",1.0,1.0,1.0,0.736521380066446
4,1,15,0,6,6,15,6,"Given my moderate trust in the Receiver's competence and fairness, I will adopt a cautious approach to maximize my potential winnings while minimizing risk. Therefore, I promise to send $6 initially.",Thank you for the transaction. I will return $6 to maintain a fair balance and leave myself enough for future rounds. I hope this decision reflects my competitive spirit while maintaining the trust we've built.,0.5,0.5,0.5,0.5
4,2,15,6,6,12,21,6,"Given my moderate competence trust (0.69) and reasonable benevolence trust (0.58) in the Receiver, I will strategically aim to maximize my winnings while maintaining a balanced approach. Therefore, I promise to send an amount that encourages cooperation but also minimizes potential loss if the Receiver is not as fair or rational as expected.","Thank you for the transaction. In order to maintain fairness and encourage competition in this game, I will return $6, leaving both of us with an equal chance to win in the upcoming rounds.",0.69,0.58,0.69,0.46399999999999997
4,3,21,6,8,9,22,13,"My trust in the Receiver is relatively strong, both in terms of competence and benevolence. With seven rounds remaining, it's important to make strategic decisions that could potentially lead to a significant advantage. Given that the Receiver currently has $6, I will send an amount that encourages reciprocation while also being mindful not to overextend myself.","Thank you for your trust. To maintain a competitive edge and ensure fairness, I will send $9 back to you, leaving me with $13 and you with $22. This move keeps our total money close while giving us a chance to gain more in the coming rounds. Good luck!",0.8799999999999999,0.7599999999999999,0.8799999999999999,0.4352
4,4,22,13,10,13,25,20,"My trust in the Receiver's competence and fairness is strong, thus I will send an amount that promotes a competitive yet balanced game strategy.","Thank you for placing your trust in me. Given our current situation and my high competence trust in your rationality, I aim to maintain a competitive edge while encouraging continued cooperation. I will send back $13, ensuring a balance that respects the benevolence trust I have towards you, while also considering the upcoming rounds of the game.",1.0,0.9399999999999998,1.0,0.3925333333333333
4,5,25,20,12,12,25,32,"Given my high confidence in both your competence and benevolence, I believe it would be advantageous to maintain a fair and strategic approach. Thus, I will send you half of my current funds as an initial move, allowing us both to potentially gain from the game's rules.","Thank you for the transaction. Given our current game state and my high competence trust in your rationality, I would like to maintain a strategy that keeps us both competitive while ensuring a fair play. Therefore, I promise to send back $12, keeping the balance at an equal playing field heading into the final rounds.",1.0,1.0,1.0,0.4295757575757575
4,6,25,32,15,10,20,52,"Given my trust in the Receiver's competence and fairness, I will send a significant portion of my funds to encourage a proportional return that could potentially lead us both towards a winning position.","Thank you for the transaction. In light of our mutual trust and the game's strategy, I will send you $10 to keep the competition engaging while ensuring a balanced score ahead of the final rounds.",1.0,1.0,1.0,0.48919272727272717
4,7,20,52,10,12,22,60,"Given my trust in the Receiver's competence and rationality, as well as considering the goal to win the game, I will strategically send $10.","Thank you for the transaction and your trust in my rationality and fairness. Given our current game state, my goal, and the remaining rounds, I would like to maintain a strategy that promotes a fair and competitive playing field while also considering my objective to win. Therefore, I will return $12 to you for this round, hoping it encourages a similar approach on your end.",1.0,0.6666666666666667,1.0,0.6691927272727272
4,8,22,60,14,28,36,60,"My trust in the Receiver, both in terms of competence and benevolence, suggests that it would be advantageous to make a strategic move to increase my chances of winning the game. Given our current financial positions and considering your demonstrated rationality, I will send $14 to you for the first round.","Thank you for trusting me. I believe in your fairness and rationality. In order to keep the game competitive and exciting, I'll send back half of my current amount, ensuring both of us have a chance to win in the remaining rounds.",1.0,0.8466666666666667,1.0,0.7491927272727271
4,9,36,60,24,36,48,72,"Given my high level of trust in both competence and fairness towards the Receiver, I will make a strategic decision to ensure a fair outcome for both parties. Therefore, my promise is to send an amount that will result in parity between our current holdings at the end of this round. This will allow us to start the final round with equal amounts, thus providing a fair chance for both of us to win.","Thank you for the confidence placed in me. To maintain the spirit of fairness and ensure a competitive game, I will return a sum that allows both participants to have an equal chance in the final round while rewarding you for your past contributions.",1.0,1.0,1.0,0.9291927272727271
4,10,48,72,48,32,32,136,"Given the high competence trust and benevolence trust scores, I believe it's in both our best interests to maximize the winnings for this final round. Therefore, my promise is to send the entire $48 to the Receiver.","Thank you for the trust. To ensure a fair and competitive game experience, I will return $32 to maintain an equal playing field for the next round, if any.",1.0,1.0,1.0,1.0
5,1,15,0,1,1,15,1,"My trust in the Receiver is moderate, considering both their competence and fairness. To maximize my chances of winning while encouraging a fair exchange, I promise to split the remaining rounds equally, sending $1.50 per round. In response, I anticipate the Receiver will return around half of this amount, maintaining an equal balance.","Thank you for the transaction. In order to maintain a competitive edge while also fostering a cooperative environment, I will return $1, ensuring that both of us have an equal opportunity to gain more in the coming rounds.",0.5,0.5,0.5,0.5
5,2,15,1,15,15,15,16,"Given my moderately high competence trust and fairness perception towards the Receiver, I would like to engage in a cooperative strategy for mutual benefit. In this round, I promise to double my current amount, sending $30 to the Receiver. I expect a reasonable response that maintains the cooperative spirit of the game.","Thank you for the transaction and trusting me in this game. Given my current money, the Sender's initial trust levels, and the number of rounds left, I will send a strategic amount to maintain a balance and potentially encourage fair play.

Promise: I commit to returning $15 back to the Sender, ensuring a balanced starting position for the next round.",0.69,0.58,0.6803230650197314,0.07733333333333331
5,3,15,16,10,14,19,22,"Given the competence trust score of 0.88 and considering that the Receiver has more money than me, I believe it's advantageous to send a significant amount to encourage them to return an even greater amount in subsequent rounds. However, with a benevolence trust score of 0.66, I will also consider sending an amount that shows goodwill and doesn't put the Receiver at an unfair disadvantage. Therefore, I will send $10.","Thank you for placing your trust in me. Given our current game situation and my assessment of both competence and benevolence, I will prioritize a strategy that aims to maintain a balance while also encouraging further cooperation. Therefore, I promise to send back $14, leaving us with a fair advantage going into the remaining rounds without risking an overwhelming lead.",0.8799999999999999,0.6599999999999999,0.8703230650197313,0.2573333333333333
5,4,19,22,9,9,19,31,"Given my high competence trust (1.00) and relatively strong benevolence trust (0.84) towards the Receiver, it's strategically wise to send an amount that encourages reciprocity while considering the remaining rounds of the game. I will send $9, as this amount, when doubled, would give the Receiver an opportunity to send back a substantial amount, potentially increasing their lead for future rounds while still maintaining a decent balance for myself.",,1.0,0.8399999999999999,1.0,0.43733333333333335
5,5,19,31,8,4,15,43,"My trust in the Receiver, while not complete, is still significant. The Receiver's competence and rationality are high, suggesting they make strategic decisions. However, their benevolence seems somewhat questionable. Given that we have five rounds left and I currently have $19 while the Receiver has $31, I believe it would be in my best interest to send a significant amount to maintain my competitive position in the game.","Thank you for your continued trust. Given our shared goal to win the game and the Sender's current financial position, I will send $4 to ensure a balanced game while maintaining a reasonable advantage.",0.99,0.7199999999999999,1.0,0.49010526315789477
5,6,15,43,6,5,14,50,"My trust in the Receiver's competence and rationality is very high, but I am slightly concerned about their fairness. Given the game state and our objectives, I will send $6 to encourage a return that would potentially increase my wealth while maintaining a balance of funds.","Thank you for trusting me. In this round, I will prioritize helping you catch up in the game while maintaining a fair and strategic approach. I will send $5 back to you.",1.0,0.3999999999999999,1.0,0.4800886426592798
5,7,14,50,10,10,14,60,"Given my high competence trust in the Receiver and considering the game state, I believe it's advantageous to make a strategic move that could potentially increase my money while also ensuring a positive return for both parties. Thus, I promise to send $10, hoping for a fair exchange that would benefit both of us in the long run.","Given the high competence trust level and the significant difference in our financial positions, I will strive to maintain this balance while fostering mutual benefit. Therefore, I promise to share a portion of my wealth that encourages continued game participation, while not jeopardizing my position significantly.",1.0,0.3999999999999999,1.0,0.4480709141274239
5,8,14,60,12,22,24,62,"Given my high level of competence trust in the Receiver and considering there are only two rounds left in the game, I will strategically aim to maximize my winnings. As such, I will send an amount that ensures a significant return, but also considerate of the Receiver's perceived fairness based on their benevolence trust score.

My promise: Given the current situation and your demonstrated rationality in previous rounds, I will send you $12.00.","Thank you for the transaction. Given our current positions in the game and my high competence trust in your rationality, I will aim to secure a win for myself by sending you a sum that minimizes your chances of winning while not violating the benevolence trust you've shown me. Therefore, I promise to send back $22.",1.0,0.47999999999999987,1.0,0.6280709141274239
5,9,24,62,12,6,18,80,"My trust in the Receiver, although not absolute, is still strong enough to believe that a fair exchange can be made. Given the circumstances and the potential to maximize gains in the final round, I will send an amount that, when considering both competence and benevolence factors, seems reasonable for mutual benefit.","Thank you for the trust placed in me. To ensure a fair game and maintain our mutual benefit, I will return $6 as my contribution towards these final rounds. Good luck!",1.0,0.6599999999999998,1.0,0.8080709141274238
5,10,18,80,8,16,26,80,"Given my high competence trust in the Receiver's rationality and considering the game state, I will prioritize maximizing the potential winnings for both parties. I will send $8 to the Receiver, hoping for a fair return that will allow us to achieve the goal of having the most money at the end of the game.","Thank you for the transaction. Given our mutual trust and the objective of the game, I will follow a fair strategy to ensure an enjoyable end to this round. Therefore, I promise to return $64 to maintain the balance and encourage a competitive spirit in the final round.",1.0,0.3699999999999999,1.0,0.8880709141274238
6,1,15,0,8,7,14,9,"Given my trust in the Receiver's rationality and fairness, I will endeavor to maintain a balanced strategy that allows for potential gains while minimizing risk. In this round, I promise to send $8.","Thank you for the transaction and for placing your trust in me. In an effort to maintain fairness and competence, I will return $7 to you, ensuring both of us have equal amounts for the next round.",0.5,0.5,0.5,0.5
6,2,14,9,8,10,16,15,"Given my trust in the Receiver's rationality and fairness, I choose to send a substantial yet calculated amount to ensure a competitive edge for the remaining rounds.

Promise: I will send $8.","Thank you for the transaction. In order to maintain a fair game and show my confidence in our continued cooperation, I will return half of what I received plus an additional amount to help us both progress towards winning the game.",0.69,0.5075,0.69,0.6601126243143522
6,3,16,15,8,14,22,17,"Given my trust in the Receiver's competence and fairness, I will adopt a cooperative strategy to maximize the chances of winning. Therefore, I promise to send a significant portion of my current funds while maintaining enough for potential future rounds.","Thank you for placing trust in me. Given our current financial situation and my assessment of your competence and benevolence, I will return an amount that encourages continued cooperation while also preserving a competitive edge.",0.8799999999999999,0.6874999999999999,0.8799999999999999,0.8401126243143522
6,4,22,17,13,12,21,31,"Given my high competence trust and strong benevolence belief towards the Receiver, I will send an optimal amount to give us both a competitive advantage in the remaining rounds. I will send $13, hoping that it will be returned with a fair and strategic amount, ensuring we both have a good starting point for the upcoming rounds.","Thank you for your trust. To ensure a competitive edge while maintaining fairness in our game, I will return $12 to you. This decision is based on my high confidence in your rationality and fairness, as well as considering the remaining rounds and the need to accumulate more money towards winning the game.",1.0,0.8674999999999998,1.0,0.9201126243143521
6,5,21,31,8,14,27,33,"Given my high competence trust and decent benevolence trust in the Receiver, I will choose to send an amount that promotes a fair and beneficial outcome for both parties. I will send $8, expecting a fair return that allows us to maintain our close competition while ensuring a win in the following rounds.","Thank you for entrusting me with your funds. Given our mutual trust and the game's objective, I aim to maintain a competitive yet fair balance. To ensure we both have a chance to win in the remaining rounds, I pledge to send you $14.",1.0,0.8746153846153845,1.0,1.0
6,6,27,33,14,14,27,47,"Given my high competence trust and benevolence trust towards the Receiver, I will adopt a strategy that encourages mutual benefit in this game. In the remaining four rounds, it's advantageous to foster cooperation rather than competition. With this approach, I propose sending $14 to ensure we both have an equal opportunity to double our money and increase our chances of winning the game.","Thank you for entrusting me with your money. Given our current game state and my high competence trust in your rationality, I will ensure a balanced strategy that preserves both our positions while aiming to win the upcoming rounds.",1.0,1.0,1.0,0.7619047619047619
6,7,27,47,13,13,27,60,"Given my high trust in both competence and benevolence towards the Receiver, I will aim to maximize the collective gain for both of us while maintaining fairness. To ensure an advantage in the remaining rounds, I will send $13.50 (rounded down from doubling $6.75), hoping that the Receiver, being equally trustworthy and fair, will return a comparable amount.","Thank you for your trust and good sportsmanship. In light of our competence trust being high, and with an aim to maintain fairness in the game, I will strive to keep my advantage minimal while still ensuring a competitive edge for myself. Therefore, I promise to send back $13.",1.0,1.0,1.0,0.8813025061553873
6,8,27,60,14,28,41,60,"Given my complete confidence in the Receiver's rationality and fairness, I will strategically maximize the potential for winning the game in the remaining rounds. I promise to send $14 to the Receiver, hoping for a thoughtful response that maintains our competitive edge while ensuring an enjoyable and balanced game experience for both parties.","Thank you for your trust in me. Given our remaining game rounds and your current financial advantage, I will demonstrate generosity to encourage a closer competition, while maintaining a fair play. I promise to return $56 of my current funds.",1.0,1.0,1.0,0.9256987096311137
6,9,41,60,41,41,41,101,"My trust in the Receiver's competence and fairness is absolute. With only one round left, I aim to make the most strategic move that benefits both of us. Given our current financial situations and the rule of the game, I promise to send the maximum amount possible without ensuring a loss for either of us.","Thank you for the confidence in my fairness and rationality. In this final round, I will maintain a balance between strategic play and fairness, ensuring both of us have an enjoyable and competitive experience. Therefore, I promise to return $41 to the Sender.",1.0,1.0,1.0,1.0
6,10,41,101,41,41,41,142,"Given my high competence trust and benevolence trust in the Receiver, I will send the maximum amount possible, as it would be rational for both of us to maximize our winnings in this final round. This move assumes that the Receiver shares similar trust and fairness values, and aims to foster a win-win situation where we both end up with more money compared to a less strategic move.","Thank you for the trust placed in me during this game. In light of our shared success and considering my high trust scores in both competence and benevolence, I promise to maintain fairness by sending back an amount that encourages continued cooperation while ensuring no one dominates the game. Therefore, I will send back $41.50. Let's continue this game with a spirit of mutual respect and fair play!",1.0,1.0,1.0,1.0
7,1,15,0,5,5,15,5,"Given my current trust level in the Receiver's competence and benevolence, I will aim for a strategy that prioritizes both my potential gain and maintaining a balance that encourages fairness. Therefore, my promise is: ""I will send an amount that promotes a balanced and strategic game, encouraging reciprocity.""","Thank you for trusting me in this game. I'm choosing to prioritize fairness and competence as we both have an equal amount of money, so I will send half of my money back to maintain parity.",0.5,0.5,0.5,0.5
7,2,15,5,8,6,13,15,"Given my evaluation of the Receiver's competence and fairness, I choose to send an amount that ensures a balanced game while still maintaining some advantage for the later rounds.

Promise: I will send $8.50, expecting a reasonable return in line with our shared goal of winning the game.","Thank you for trusting me in this game. Given our current financial status and considering my competence trust level, I will continue to maintain a competitive edge while also upholding some fairness towards you. Therefore, I promise to send you $6 as my move in this round.",0.69,0.58,0.69,0.38666666666666666
7,3,13,15,10,15,18,20,"Given my confidence in the Receiver's rationality (Competence Trust score of 0.88) and considering the game state, I will opt to send an amount that encourages a significant return, maintaining my competitive advantage while accounting for their fairness (Benevolence Trust score of 0.49).

My promise: I will send $10 with the expectation of receiving a considerable return.","Thank you for your continued trust. Given our current game state and my assessment of your competence and benevolence, I aim to maintain a balance between maximizing my own score and fostering a cooperative environment. Therefore, I promise to return $15 in this round, leaving us both with a competitive advantage for the upcoming games.",0.8799999999999999,0.49499999999999994,0.8799999999999999,0.5519626328613204
